Team,Team Clean,Seed,one,two,three,four,five,six,rtt_grp,ss_grp,ee_grp,ff_grp,final_grp
Duke,Duke,1,0.986871116,0.951103462,0.794171037,0.642893069,0.486009427,0.292541492,1,1,1,E,1
Siena,Siena,16,0.013128884,0,0,0,0,0,1,1,1,E,1
Ohio State,OSU,8,0.608119052,0.033002632,0.017244857,0.01005935,0.003209307,0.00189962,8,1,1,E,1
TCU,TCU,9,0.391880948,0.015893906,0.00594998,0.002615431,0.001103199,0.0004999,8,1,1,E,1
St. John's,StJohns,5,0.890088817,0.537111739,0.096712384,0.053213962,0.023066894,0.01079784,5,4,1,E,1
Northern Iowa,NorthernIowa,12,0.109911183,0.021581283,0.004134732,0.001810683,0.000702036,0.00039992,5,4,1,E,1
Kansas,Kansas,4,0.956828727,0.430314643,0.078559903,0.04164571,0.023869221,0.014597081,4,4,1,E,1
California Baptist,CABaptist,13,0.043171273,0.010992336,0.003227108,0.001307716,0.000601745,0.00029994,4,4,1,E,1
Louisville,Louisville,6,0.639808982,0.156508577,0.05235075,0.006639171,0.002507271,0.00109978,6,3,2,E,1
South Florida,SouthFlorida,11,0.360191018,0.061251261,0.011476895,0.002816618,0.001002908,0.0004999,6,3,2,E,1
Michigan State,MSU,3,0.962271764,0.769828456,0.358703312,0.086611005,0.038411393,0.013697261,3,3,2,E,1
North Dakota State,NDSU,14,0.037728236,0.012411705,0.003523608,0.001307716,0.000601745,0.00029994,3,3,2,E,1
UCLA,UCLA,7,0.689298743,0.159322376,0.061210108,0.009455789,0.004513088,0.0024995,7,2,2,E,1
UCF,UCF,10,0.310701257,0.028234345,0.007550589,0.00201187,0.000902618,0.00039992,7,2,2,E,1
Connecticut,Uconn,2,0.974121438,0.803670465,0.501157757,0.136203601,0.071407081,0.035092981,2,2,2,E,1
Furman,Furman,15,0.025878562,0.008772814,0.004026981,0.001408309,0.000601745,0.00029994,2,2,2,E,1
Florida,Florida,1,0.98661353,0.91893558,0.775812717,0.419932811,0.136495838,0.063587283,1,1,1,S,1
Prairie View,PrarieView,16,0.01338647,0,0,0,0,0,1,1,1,S,1
Clemson,Clemson,8,0.448197734,0.032775095,0.015232059,0.005599104,0.001905526,0.00079984,8,1,1,S,1
Iowa,Iowa,9,0.551802266,0.048289325,0.027295032,0.004784689,0.001704944,0.00079984,8,1,1,S,1
Vanderbilt,Vandy,5,0.847821619,0.561816137,0.10897567,0.028708134,0.007421522,0.00259948,5,4,1,S,1
McNeese State,McNeese,12,0.152178381,0.048062174,0.005929258,0.002443245,0.000902618,0.00039992,5,4,1,S,1
Nebraska,Nebraska,4,0.885200411,0.369158401,0.062461664,0.018731548,0.006017451,0.00279944,4,4,1,S,1
Troy,Troy,13,0.114799589,0.020963289,0.0042936,0.001730632,0.000702036,0.00029994,4,4,1,S,1
North Carolina,UNC,6,0.705731042,0.261118495,0.102067841,0.039193729,0.009327048,0.00459908,6,3,2,S,1
VCU,VCU,11,0.294268958,0.050097127,0.007741673,0.002341444,0.000802327,0.00039992,6,3,2,S,1
Illinois*,Illinois,3,0.9197,0.670074634,0.217887338,0.102514507,0.033095978,0.0119976,3,3,2,S,1
Penn,UPenn,14,0.0803,0.018709743,0.007334216,0.004479283,0.002908434,0.00189962,3,3,2,S,1
Saint Mary's,SaintMarys,7,0.543225142,0.067088737,0.018539269,0.005802708,0.001704944,0.00059988,7,2,2,S,1
Texas A&M,TAMU,10,0.456774858,0.059430205,0.014057248,0.004886491,0.001905526,0.00079984,7,2,2,S,1
Houston,Houston,2,0.969715572,0.86347391,0.62778853,0.357121042,0.135894093,0.055088982,2,2,2,S,1
Idaho,Idaho,15,0.030284428,0.010007148,0.004583885,0.001730632,0.000702036,0.00029994,2,2,2,S,1
Arizona,Arizona,1,0.984130234,0.934981968,0.780465307,0.584363381,0.405075939,0.209658068,1,1,1,W,2
Long Island,LongIsland,16,0.015869766,0,0,0,0,0,1,1,1,W,2
Villanova,Villanova,8,0.556806445,0.047398248,0.025212668,0.007838408,0.003697042,0.0014997,8,1,1,W,2
Utah State,UtahSt,9,0.443193555,0.017619784,0.006764374,0.00251231,0.001099121,0.0004999,8,1,1,W,2
Wisconsin,Wisconsin,5,0.846811579,0.367028911,0.067336271,0.028539845,0.014188649,0.00859828,5,4,1,W,2
High Point,HighPoint,12,0.153188421,0.02962887,0.004919545,0.001909356,0.000799361,0.00039992,5,4,1,W,2
Arkansas,Arkansas,4,0.928975811,0.581710068,0.109869837,0.064013667,0.028577138,0.0119976,4,4,1,W,2
Hawaii,Hawaii,13,0.071024189,0.021632151,0.005431998,0.002411818,0.001199041,0.00059988,4,4,1,W,2
BYU,BYU,6,0.8009,0.282942465,0.091033942,0.015676816,0.006994404,0.00269946,6,3,2,W,2
Texas*,Texas,11,0.1991,0.1,0.047184618,0.017787157,0.005695444,0.00209958,6,3,2,W,2
Gonzaga,Gonzaga,3,0.958757585,0.605331458,0.292426918,0.096874686,0.04666267,0.018396321,3,3,2,W,2
Kennesaw State,KennesawSt,14,0.041242415,0.011726079,0.003237198,0.001306401,0.00059952,0.00029994,3,3,2,W,2
Miami (Fla.),MiamiFL,7,0.636072351,0.12920082,0.045026486,0.012963521,0.004396483,0.00179964,7,2,2,W,2
Missouri,Missouri,10,0.363927649,0.04170082,0.010692564,0.003115265,0.001298961,0.00069986,7,2,2,W,2
Purdue,Purdue,2,0.975877643,0.819569672,0.506180106,0.158978997,0.074040767,0.031493701,2,2,2,W,2
Queens,Queens,15,0.024122357,0.009528689,0.004218168,0.001708371,0.00069944,0.00029994,2,2,2,W,2
Michigan,Michigan,1,0.985495319,0.942422989,0.816939048,0.612203112,0.28157474,0.142971406,1,1,1,M,2
UMBC,UMBC,16,0.014504681,0,0,0,0,0,1,1,1,M,2
Georgia,Georgia,8,0.568240789,0.03597271,0.0127454,0.005528256,0.002198241,0.00109978,8,1,1,M,2
Saint Louis,SLU,9,0.431759211,0.0216043,0.009867407,0.003890254,0.001498801,0.00069986,8,1,1,M,2
Texas Tech,TTU,5,0.77007564,0.347745522,0.049439819,0.018120393,0.005695444,0.00209958,5,4,1,M,2
Akron,Akron,12,0.22992436,0.060016471,0.00524206,0.002149877,0.000899281,0.00039992,5,4,1,M,2
Alabama,Alabama,4,0.911131802,0.569384394,0.101449275,0.044226044,0.013189448,0.00489902,4,4,1,M,2
Hofstra,Hofstra,13,0.088868198,0.022853613,0.00431699,0.001842752,0.000799361,0.00039992,4,4,1,M,2
Tennessee,Tennessee,6,0.8455,0.311669585,0.102164325,0.018632269,0.005895284,0.00239952,6,3,2,M,2
SMU*,SMU,11,0.1545,0.028015244,0.006975074,0.002354627,0.000999201,0.0004999,6,3,2,M,2
Virginia,Virginia,3,0.95294726,0.647234525,0.257872602,0.074938575,0.022781775,0.00769846,3,3,2,M,2
Wright State,WrightSt,14,0.04705274,0.013080647,0.003897836,0.001535627,0.00059952,0.00029994,3,3,2,M,2
Kentucky,Kentucky,7,0.687992534,0.184537884,0.07898246,0.028255528,0.014788169,0.0034993,7,2,2,M,2
Santa Clara,SantaClara,10,0.312007466,0.039477742,0.01087291,0.002866503,0.001099121,0.00059988,7,2,2,M,2
Iowa State,ISU,2,0.959158416,0.760049347,0.534208637,0.181715807,0.052258193,0.019196161,2,2,2,M,2
Tennessee State,TennSt,15,0.040841584,0.015935026,0.005026157,0.001740377,0.00069944,0.00029994,2,2,2,M,2
