round,Team,competitor,grp,type
1,TCU,1027,E8,winner
1,St. John's,1027,E5,winner
1,Louisville,1027,E6,winner
1,UCLA,1027,E7,winner
1,Clemson,1027,S8,winner
1,Vanderbilt,1027,S5,winner
1,North Carolina,1027,S6,winner
1,Saint Mary's,1027,S7,winner
1,Utah State,1027,W8,winner
1,Wisconsin,1027,W5,winner
1,BYU,1027,W6,winner
1,Miami (Fla.),1027,W7,winner
1,Georgia,1027,M8,winner
1,Texas Tech,1027,M5,winner
1,Virginia,1027,M3,winner
1,Kentucky,1027,M7,winner
1,Kansas,1027,E4,winner
1,Michigan State,1027,E3,winner
1,Nebraska,1027,S4,winner
1,Illinois*,1027,S3,winner
1,Arkansas,1027,W4,winner
1,Purdue,1027,W2,winner
1,Alabama,1027,M4,winner
1,Tennessee,1027,M6,winner
1,Connecticut,1027,E2,winner
1,Florida,1027,S1,winner
1,Gonzaga,1027,W3,winner
1,Iowa State,1027,M2,winner
1,Houston,1027,S2,winner
1,Arizona,1027,W1,winner
1,Michigan,1027,M1,winner
1,Duke,1027,E1,winner
2,Kansas,1027,E4,winner
2,Michigan State,1027,E3,winner
2,Nebraska,1027,S4,winner
2,Illinois*,1027,S3,winner
2,Arkansas,1027,W4,winner
2,Purdue,1027,W2,winner
2,Alabama,1027,M4,winner
2,Tennessee,1027,M3,winner
2,Connecticut,1027,E2,winner
2,Florida,1027,S1,winner
2,Gonzaga,1027,W3,winner
2,Iowa State,1027,M2,winner
2,Houston,1027,S2,winner
2,Arizona,1027,W1,winner
2,Michigan,1027,M1,winner
2,Duke,1027,E1,winner
3,Connecticut,1027,E2,winner
3,Florida,1027,S1,winner
3,Gonzaga,1027,W2,winner
3,Iowa State,1027,M2,winner
3,Houston,1027,S2,winner
3,Arizona,1027,W1,winner
3,Michigan,1027,M1,winner
3,Duke,1027,E1,winner
4,Houston,1027,S,winner
4,Arizona,1027,W,winner
4,Michigan,1027,M,winner
4,Duke,1027,E,winner
5,Michigan,1027,2,winner
5,Duke,1027,1,winner
6,Duke,1027,final,winner
